Date,RainMelt_mm,Discharge_mm
10/1/95,0.00,0.44
10/2/95,0.00,0.49
10/3/95,8.33,0.44
10/4/95,0.91,0.44
10/5/95,0.00,0.44
10/6/95,4.17,0.44
10/7/95,0.00,0.44
10/8/95,0.00,0.49
10/9/95,2.08,0.44
10/10/95,2.08,0.44
10/11/95,0.46,0.44
10/12/95,2.54,0.44
10/13/95,0.00,0.44
10/14/95,6.71,0.44
10/15/95,4.62,0.40
10/16/95,4.62,0.40
10/17/95,0.00,0.44
10/18/95,2.08,0.40
10/19/95,0.46,0.44
10/20/95,2.08,0.40
10/21/95,0.00,0.40
10/22/95,6.71,0.40
10/23/95,0.00,0.35
10/24/95,0.00,0.40
10/25/95,0.46,0.40
10/26/95,0.00,0.40
10/27/95,0.00,0.40
10/28/95,0.00,0.40
10/29/95,0.00,0.44
10/30/95,0.00,0.44
10/31/95,0.00,0.18
11/1/95,0.00,0.18
11/2/95,0.00,0.18
11/3/95,0.00,0.18
11/4/95,0.00,0.18
11/5/95,0.00,0.18
11/6/95,0.00,0.18
11/7/95,0.46,0.18
11/8/95,0.00,0.18
11/9/95,0.00,0.18
11/10/95,0.00,0.18
11/11/95,0.00,0.18
11/12/95,0.00,0.18
11/13/95,0.00,0.18
11/14/95,0.00,0.18
11/15/95,0.00,0.18
11/16/95,0.00,0.18
11/17/95,0.00,0.18
11/18/95,0.00,0.18
11/19/95,0.00,0.18
11/20/95,0.00,0.18
11/21/95,0.00,0.18
11/22/95,0.00,0.18
11/23/95,0.00,0.18
11/24/95,0.00,0.18
11/25/95,0.00,0.18
11/26/95,0.46,0.18
11/27/95,0.00,0.18
11/28/95,3.20,0.18
11/29/95,0.00,0.18
11/30/95,0.00,0.18
12/1/95,0.00,0.18
12/2/95,0.00,0.18
12/3/95,0.00,0.18
12/4/95,0.00,0.18
12/5/95,0.00,0.18
12/6/95,0.00,0.18
12/7/95,0.00,0.18
12/8/95,0.00,0.18
12/9/95,0.00,0.18
12/10/95,0.00,0.18
12/11/95,0.00,0.18
12/12/95,0.00,0.18
12/13/95,0.00,0.18
12/14/95,0.00,0.18
12/15/95,0.00,0.18
12/16/95,0.00,0.18
12/17/95,0.00,0.18
12/18/95,0.00,0.18
12/19/95,0.00,0.18
12/20/95,0.00,0.18
12/21/95,0.00,0.18
12/22/95,0.00,0.18
12/23/95,0.00,0.18
12/24/95,0.00,0.18
12/25/95,0.00,0.18
12/26/95,0.00,0.18
12/27/95,0.00,0.18
12/28/95,0.00,0.18
12/29/95,0.00,0.18
12/30/95,0.00,0.18
12/31/95,0.00,0.18
1/1/96,0.00,0.18
1/2/96,0.00,0.18
1/3/96,0.00,0.18
1/4/96,0.00,0.18
1/5/96,0.00,0.18
1/6/96,0.00,0.18
1/7/96,0.00,0.18
1/8/96,0.00,0.18
1/9/96,0.00,0.18
1/10/96,0.00,0.18
1/11/96,0.00,0.18
1/12/96,0.00,0.18
1/13/96,0.00,0.18
1/14/96,0.00,0.18
1/15/96,0.00,0.18
1/16/96,0.00,0.18
1/17/96,0.00,0.18
1/18/96,0.00,0.18
1/19/96,2.08,0.18
1/20/96,0.00,0.18
1/21/96,2.08,0.18
1/22/96,0.00,0.18
1/23/96,0.00,0.18
1/24/96,0.00,0.18
1/25/96,0.00,0.18
1/26/96,2.08,0.18
1/27/96,0.00,0.18
1/28/96,0.00,0.18
1/29/96,0.00,0.18
1/30/96,0.00,0.18
1/31/96,0.00,0.18
2/1/96,0.00,0.18
2/2/96,0.00,0.18
2/3/96,0.00,0.18
2/4/96,0.00,0.18
2/5/96,0.00,0.18
2/6/96,0.00,0.18
2/7/96,0.00,0.18
2/8/96,0.00,0.18
2/9/96,0.00,0.18
2/10/96,0.00,0.18
2/11/96,0.00,0.18
2/12/96,0.00,0.18
2/13/96,0.00,0.18
2/14/96,0.00,0.18
2/15/96,0.00,0.18
2/16/96,0.00,0.18
2/17/96,0.00,0.18
2/18/96,0.00,0.18
2/19/96,0.00,0.18
2/20/96,0.00,0.18
2/21/96,0.00,0.18
2/22/96,0.00,0.18
2/23/96,0.00,0.18
2/24/96,0.00,0.18
2/25/96,0.00,0.18
2/26/96,0.00,0.18
2/27/96,0.00,0.18
2/28/96,0.00,0.18
2/29/96,0.00,0.18
3/1/96,0.00,0.18
3/2/96,0.00,0.18
3/3/96,0.00,0.18
3/4/96,0.00,0.18
3/5/96,0.00,0.18
